Added Player,2020-04-18T20:24:03.841495900Z
Added Coach,2020-04-18T20:24:03.841495900Z
Added Manager,2020-04-18T20:24:03.857122400Z
Added Doctor,2020-04-18T20:24:03.857122400Z
Added Staff Member,2020-04-18T20:24:03.857122400Z
Sorted By Rating,2020-04-18T20:24:03.857122400Z
Added Player,2020-04-19T15:28:36.451993300Z
Added Coach,2020-04-19T15:28:36.470943400Z
Added Manager,2020-04-19T15:28:36.471940Z
Added Doctor,2020-04-19T15:28:36.472937700Z
Added Staff Member,2020-04-19T15:28:36.472937700Z
Sorted By Rating,2020-04-19T15:28:36.474931400Z
Added Player,2020-04-19T15:30:35.026928500Z
Added Coach,2020-04-19T15:30:35.038895900Z
Added Manager,2020-04-19T15:30:35.039893600Z
Added Doctor,2020-04-19T15:30:35.040890300Z
Added Staff Member,2020-04-19T15:30:35.040890300Z
Sorted By Rating,2020-04-19T15:30:35.041887600Z
Added Player,2020-04-23T16:15:23.492988600Z 
 Added Coach,2020-04-23T16:15:23.509942900Z 
 Added Manager,2020-04-23T16:15:23.511937200Z 
 Added Doctor,2020-04-23T16:15:23.511937200Z 
 Added Staff Member,2020-04-23T16:15:23.512934500Z 
 Sorted By Rating,2020-04-23T16:15:23.514929400Z 
 